visitorid,itemid,7,rate
757199,238059,7,1433885317918
759678,153778,7,1433789900880
783282,111179,7,1434006877172
822310,6518,7,1434054946052
822310,70004,7,1434054946147
822310,443161,7,1434054946131
841939,85914,7,1433874983283
841939,113440,7,1433785597849
841939,222285,7,1433785597677
841939,315685,7,1433817531739
841939,366238,7,1433785597677
854310,175485,7,1433768290889
858445,165169,7,1433743895904
859462,85945,7,1433875944413
861651,8015,7,1434074628782
869123,411886,7,1433708961410
879063,309778,7,1433824777620
879685,17478,7,1433702475644
892355,72299,7,1433697302657
892355,119736,7,1433703973431
892355,409746,7,1433702433173
903507,122604,7,1433575731972
918146,432478,7,1434049406623
937584,459475,7,1434051605164
940498,71530,7,1434067900368
960973,115889,7,1434074762585
977450,391688,7,1433573784976
1004711,132347,7,1433986396221
1012516,393768,7,1433955374371
1012647,109663,7,1433716628581
1052311,97836,7,1434060970289
1065255,181687,7,1434249657369
1075423,50443,7,1433699790424
1075423,399550,7,1433698239745
1075423,464954,7,1433707774287
1093035,130113,7,1433956602220
1093035,156466,7,1433956602220
1093035,289633,7,1433799620657
1093035,407078,7,1433961817339
1104300,256164,7,1433902951781
1134975,161354,7,1433800796921
1134975,281212,7,1433800796921
1143383,62206,7,1433956981738
1143383,92271,7,1434215228602
1143383,117438,7,1433899309014
1149372,288418,7,1433881278977
1156969,104478,7,1434045877813
1161163,190806,7,1434074800757
1168431,135591,7,1433949531667
1169956,35245,7,1433667227278
1169956,308648,7,1433667227278
1173572,313375,7,1434256608696
1183092,238182,7,1433793345502
1206508,109312,7,1433958910011
1211071,224487,7,1433797586621
1212999,32500,7,1433784306318
1212999,192003,7,1433784306349
1234499,32299,7,1433730079549
1245659,336165,7,1433738892422
1246346,256473,7,1433704386999
1246436,68106,7,1433984338634
1251411,358348,7,1434257955768
1258928,43392,7,1433917878489
1258928,171465,7,1433917878473
1337408,360487,7,1433800779655
1356496,248676,7,1433880994247
1359706,64137,7,1433693594315
1381398,13879,7,1434176962557
1390828,319942,7,1433968355353
